link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,992,3,0,393897,-82899,0,5,99,0,0
2,992,3,0,393897,-82899,0,5,99,0,0
1,993,3,0,393897,-82899,1,12,99,0,0
2,993,3,0,393897,-82899,1,12,99,0,0
1,994,3,0,393897,-82899,3,19,99,0,0
2,994,3,0,393897,-82899,3,19,99,0,0
1,995,3,0,393897,-82899,5,27,99,0,0
2,995,3,0,393897,-82899,5,27,99,0,0
1,996,3,0,393897,-82899,8,34,99,0,0
2,996,3,0,393897,-82899,8,34,99,0,0
1,998,3,0,393897,-82899,16,48,99,0,0
2,999,3,0,393897,-82899,22,55,99,0,0
1,1000,3,0,393897,-82899,27,62,99,0,0
2,1000,3,0,393897,-82899,27,62,99,0,0
1,1001,3,0,393897,-82899,34,69,99,0,0
2,1001,3,0,393897,-82899,34,69,99,0,0
1,1002,3,0,393897,-82899,41,76,99,0,0
2,1002,3,0,393897,-82899,41,76,99,0,0
1,1003,3,0,393897,-82899,49,83,99,0,0
2,1003,3,0,393897,-82899,49,83,99,0,0
1,1005,3,0,393897,-82899,67,97,99,0,0
2,1005,3,0,393897,-82899,67,97,99,0,0
1,1006,3,0,393897,-82898,77,104,99,0,0
2,1006,3,0,393897,-82898,77,104,99,0,0
1,1010,3,0,393898,-82898,123,131,99,0,0
2,1014,3,0,393898,-82898,177,156,99,0,0
2,1019,3,0,393898,-82898,252,184,99,0,0
2,1025,3,0,393898,-82899,346,211,99,0,0
1,1030,3,0,393899,-82899,426,229,99,0,0
2,1030,3,0,393899,-82899,426,229,99,0,0
1,1033,3,0,393899,-82899,474,228,99,0,0
2,1033,3,0,393899,-82899,474,228,99,0,0
1,1034,4,0,393899,-82899,490,224,99,0,0
2,1034,4,0,393899,-82899,490,224,99,0,0
1,1035,4,0,393899,-82899,507,220,99,0,0
2,1035,4,0,393899,-82899,507,220,99,0,0
1,1036,4,0,393899,-82899,523,217,99,0,0
1,1037,4,0,393899,-82899,540,213,99,0,0
2,1037,4,0,393899,-82899,540,213,99,0,0
2,1038,4,0,393899,-82899,557,210,99,0,0
1,1041,4,0,393899,-82899,611,202,99,0,0
2,1041,4,0,393899,-82899,611,202,99,0,0
1,1042,4,0,393899,-82899,630,200,99,0,0
1,1043,4,0,393899,-82899,650,198,99,0,0
2,1043,4,0,393899,-82899,650,198,99,0,0
1,1044,4,0,393899,-82899,670,197,99,0,0
2,1044,4,0,393899,-82899,670,197,99,0,0
1,1045,4,0,393899,-82899,690,195,99,0,0
2,1045,4,0,393899,-82899,690,195,99,0,0
1,1046,4,0,393899,-82899,710,194,99,0,0
1,1048,4,0,393899,-82899,752,192,99,0,0
2,1048,4,0,393899,-82899,752,192,99,0,0
1,1049,4,0,393899,-82900,774,192,99,0,0
1,1050,4,0,393899,-82900,796,191,99,0,0
2,1050,4,0,393899,-82900,796,191,99,0,0
1,1051,4,0,393899,-82900,818,191,99,0,0
2,1051,4,0,393899,-82900,818,191,99,0,0
1,1052,4,0,393899,-82900,841,191,99,0,0
2,1052,4,0,393899,-82900,841,191,99,0,0
1,1053,4,0,393899,-82900,863,190,99,0,0
2,1053,4,0,393899,-82900,863,190,99,0,0
1,1056,4,0,393899,-82900,933,190,99,0,0
1,1058,4,0,393899,-82900,980,191,99,0,0
2,1058,4,0,393899,-82900,980,191,99,0,0
1,1059,4,0,393899,-82900,1003,191,99,0,0
2,1059,4,0,393899,-82900,1003,191,99,0,0
1,1060,4,0,393899,-82903,1027,191,99,0,0
