link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,992,3,0,393897,-82899,0,5,99,0,0
1,994,3,0,393897,-82899,3,19,99,0,0
2,994,3,0,393897,-82899,3,19,99,0,0
1,995,3,0,393897,-82899,5,27,99,0,0
2,995,3,0,393897,-82899,5,27,99,0,0
2,996,3,0,393897,-82899,8,34,99,0,0
1,997,3,0,393897,-82899,12,41,99,0,0
2,997,3,0,393897,-82899,12,41,99,0,0
1,998,3,0,393897,-82899,16,48,99,0,0
2,998,3,0,393897,-82899,16,48,99,0,0
1,1000,3,0,393897,-82899,27,62,99,0,0
2,1000,3,0,393897,-82899,27,62,99,0,0
1,1001,3,0,393897,-82899,34,69,99,0,0
2,1001,3,0,393897,-82899,34,69,99,0,0
1,1002,3,0,393897,-82899,41,76,99,0,0
2,1002,3,0,393897,-82899,41,76,99,0,0
1,1003,3,0,393897,-82899,49,83,99,0,0
2,1003,3,0,393897,-82899,49,83,99,0,0
1,1004,3,0,393897,-82899,58,90,99,0,0
2,1004,3,0,393897,-82899,58,90,99,0,0
1,1006,3,0,393897,-82898,77,104,99,0,0
2,1006,3,0,393897,-82898,77,104,99,0,0
1,1007,3,0,393897,-82898,88,111,99,0,0
2,1007,3,0,393897,-82898,88,111,99,0,0
1,1008,3,0,393898,-82898,99,117,99,0,0
2,1008,3,0,393898,-82898,99,117,99,0,0
2,1009,3,0,393898,-82898,111,124,99,0,0
1,1010,3,0,393898,-82898,123,131,99,0,0
2,1010,3,0,393898,-82898,123,131,99,0,0
1,1011,3,0,393898,-82898,136,137,99,0,0
2,1011,3,0,393898,-82898,136,137,99,0,0
1,1013,3,0,393898,-82898,163,150,99,0,0
2,1013,3,0,393898,-82898,163,150,99,0,0
1,1014,3,0,393898,-82898,177,156,99,0,0
2,1014,3,0,393898,-82898,177,156,99,0,0
1,1015,3,0,393898,-82898,191,162,99,0,0
2,1015,3,0,393898,-82898,191,162,99,0,0
1,1016,3,0,393898,-82898,206,167,99,0,0
2,1016,3,0,393898,-82898,206,167,99,0,0
1,1017,3,0,393898,-82898,221,173,99,0,0
2,1017,3,0,393898,-82898,221,173,99,0,0
1,1019,3,0,393898,-82898,252,184,99,0,0
1,1020,3,0,393898,-82898,267,189,99,0,0
2,1020,3,0,393898,-82898,267,189,99,0,0
1,1021,3,0,393898,-82898,283,194,99,0,0
2,1021,3,0,393898,-82898,283,194,99,0,0
1,1022,3,0,393898,-82898,299,198,99,0,0
2,1022,3,0,393898,-82898,299,198,99,0,0
1,1023,3,0,393898,-82898,315,203,99,0,0
1,1025,3,0,393898,-82899,346,211,99,0,0
1,1028,3,0,393899,-82899,394,222,99,0,0
2,1028,3,0,393899,-82899,394,222,99,0,0
2,1029,3,0,393899,-82899,410,225,99,0,0
1,1030,3,0,393899,-82899,426,229,99,0,0
2,1030,3,0,393899,-82899,426,229,99,0,0
1,1031,3,0,393899,-82899,442,231,99,0,0
2,1031,3,0,393899,-82899,442,231,99,0,0
1,1032,3,0,393899,-82899,458,232,99,0,0
2,1032,3,0,393899,-82899,458,232,99,0,0
1,1033,3,0,393899,-82899,474,228,99,0,0
2,1033,3,0,393899,-82899,474,228,99,0,0
1,1035,4,0,393899,-82899,507,220,99,0,0
1,1036,4,0,393899,-82899,523,217,99,0,0
2,1036,4,0,393899,-82899,523,217,99,0,0
1,1037,4,0,393899,-82899,540,213,99,0,0
2,1037,4,0,393899,-82899,540,213,99,0,0
1,1038,4,0,393899,-82899,557,210,99,0,0
2,1038,4,0,393899,-82899,557,210,99,0,0
1,1039,4,0,393899,-82899,575,207,99,0,0
2,1039,4,0,393899,-82899,575,207,99,0,0
1,1041,4,0,393899,-82899,611,202,99,0,0
2,1041,4,0,393899,-82899,611,202,99,0,0
1,1042,4,0,393899,-82899,630,200,99,0,0
2,1042,4,0,393899,-82899,630,200,99,0,0
1,1043,4,0,393899,-82899,650,198,99,0,0
2,1043,4,0,393899,-82899,650,198,99,0,0
1,1044,4,0,393899,-82899,670,197,99,0,0
2,1044,4,0,393899,-82899,670,197,99,0,0
1,1045,4,0,393899,-82899,690,195,99,0,0
2,1045,4,0,393899,-82899,690,195,99,0,0
1,1048,4,0,393899,-82899,752,192,99,0,0
2,1048,4,0,393899,-82899,752,192,99,0,0
1,1049,4,0,393899,-82900,774,192,99,0,0
2,1049,4,0,393899,-82900,774,192,99,0,0
1,1050,4,0,393899,-82900,796,191,99,0,0
2,1050,4,0,393899,-82900,796,191,99,0,0
1,1051,4,0,393899,-82900,818,191,99,0,0
2,1051,4,0,393899,-82900,818,191,99,0,0
1,1052,4,0,393899,-82900,841,191,99,0,0
