link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,21142,3,16,393879,-82901,0,4,234,1,0
2,21117,3,16,0,0,0,6,92,0,1
1,21143,3,16,393879,-82901,0,9,234,1,0
2,21118,3,16,0,0,0,11,92,0,1
1,21144,3,16,393879,-82901,1,15,234,1,0
2,21119,3,16,0,0,2,17,92,0,1
1,21145,3,16,393879,-82901,3,20,234,1,0
2,21120,3,16,0,0,4,22,92,0,1
1,21146,3,16,393879,-82901,5,26,236,1,0
2,21121,3,16,0,0,6,27,92,0,1
2,21122,3,16,0,0,10,33,92,0,1
2,21124,3,16,0,0,17,44,92,0,1
2,21125,3,16,0,0,22,50,92,0,1
1,21151,3,16,393879,-82901,26,55,236,1,0
2,21126,3,16,0,0,27,56,92,0,1
1,21152,3,16,393879,-82901,32,61,236,1,0
2,21127,3,16,0,0,33,62,92,0,1
1,21153,3,16,393879,-82901,38,67,235,1,0
1,21154,3,16,393879,-82901,45,73,235,1,0
1,21155,3,16,393879,-82901,53,79,234,1,0
2,21130,3,16,0,0,55,79,92,0,1
1,21158,3,16,393879,-82901,79,97,235,1,0
2,21133,3,16,0,0,81,97,92,0,1
1,21159,3,16,393879,-82901,89,103,236,1,0
2,21134,3,16,0,0,91,103,92,0,1
1,21160,3,16,393879,-82901,100,109,236,1,0
2,21135,3,16,0,0,102,109,92,0,1
1,21161,3,16,393879,-82901,111,115,234,1,0
1,21163,3,16,393879,-82901,135,127,235,1,0
2,21138,3,16,0,0,137,126,92,0,1
2,21139,3,16,0,0,149,131,92,0,1
1,21169,3,16,393879,-82901,219,161,234,1,0
2,21144,3,16,0,0,221,159,92,0,1
2,21146,3,16,0,0,253,169,92,0,1
1,21172,3,16,393879,-82901,268,177,236,1,0
1,21174,3,16,393879,-82901,303,186,236,1,0
2,21149,3,16,0,0,304,184,92,0,1
1,21175,3,16,393879,-82901,321,191,236,1,0
2,21150,3,16,0,0,322,189,92,0,1
1,21177,3,16,393879,-82901,358,200,235,1,0
1,21180,3,16,393879,-82901,416,213,235,1,0
2,21154,3,16,0,0,398,206,92,0,1
2,21155,3,16,0,0,418,210,92,0,1
1,21181,3,16,393879,-82901,436,217,234,1,0
1,21182,3,16,393879,-82901,457,221,234,1,0
1,21183,3,16,393879,-82901,478,225,234,1,0
2,21158,3,16,0,0,481,222,92,0,1
1,21184,3,16,393879,-82901,499,229,234,1,0
2,21159,3,16,0,0,502,226,92,0,1
1,21185,3,16,393879,-82901,521,232,234,1,0
2,21160,3,16,0,0,525,230,92,0,1
1,21187,3,16,393879,-82901,566,240,234,1,0
2,21161,3,16,0,0,547,233,92,0,1
1,21188,3,16,393879,-82901,590,243,234,1,0
2,21162,3,16,0,0,570,237,92,0,1
1,21189,3,16,393879,-82901,613,247,234,1,0
2,21163,3,16,0,0,594,241,92,0,1
2,21164,3,16,0,0,618,244,92,0,1
1,21190,3,16,393879,-82901,637,250,234,1,0
2,21165,3,16,0,0,642,248,92,0,1
1,21192,3,16,393879,-82901,687,255,234,1,0
2,21167,3,16,0,0,692,251,92,0,1
2,21168,3,16,0,0,717,251,92,0,1
1,21195,4,16,393879,-82901,762,252,235,1,0
1,21196,4,16,393879,-82901,787,250,235,1,0
2,21171,4,16,0,0,792,246,93,0,1
1,21197,4,16,393879,-82901,811,248,234,1,0
1,21198,4,16,393879,-82901,836,246,234,1,0
2,21174,4,16,0,0,866,241,92,0,1
1,21200,4,16,393879,-82901,884,242,234,1,0
1,21202,4,16,393879,-82901,932,238,234,1,0
2,21177,4,16,0,0,937,235,92,0,1
1,21203,4,16,393879,-82901,956,236,235,1,0
2,21178,4,16,0,0,961,233,92,0,1
1,21204,4,16,393879,-82901,979,234,234,1,0
1,21205,4,16,393879,-82901,1002,232,234,1,0
1,21206,4,16,393879,-82901,1025,230,235,1,0
2,21181,4,16,0,0,1031,227,92,0,1
2,21182,4,16,0,0,1054,226,92,0,1
1,21208,4,16,393879,-82901,1070,226,234,1,0
1,21211,4,16,393879,-82901,1137,220,234,1,0
2,21185,4,16,0,0,1122,220,92,0,1
2,21186,4,16,0,0,1144,218,92,0,1
1,21212,4,16,393879,-82901,1159,218,234,1,0
2,21187,4,16,0,0,1166,216,92,0,1
2,21188,4,16,0,0,1188,215,93,0,1
1,21214,4,16,393879,-82901,1202,214,234,1,0
2,21189,4,16,0,0,1209,213,92,0,1
1,21215,4,16,393879,-82901,1224,212,234,1,0
2,21190,4,16,0,0,1231,211,92,0,1
1,21217,4,16,393879,-82901,1266,209,234,1,0
2,21191,4,16,0,0,1252,209,93,0,1
1,21219,4,16,393879,-82901,1308,205,235,1,0
2,21195,4,16,0,0,1336,202,92,0,1
1,21221,4,16,393879,-82901,1349,201,234,1,0
1,21222,4,16,393879,-82901,1370,200,236,1,0
