link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,10488,3,0,0,0,0,6,78,1,0
1,10489,3,0,0,0,1,10,78,1,0
2,10489,3,0,0,0,1,10,78,1,0
1,10490,3,0,0,0,2,16,78,1,0
2,10490,3,0,0,0,2,16,78,1,0
1,10491,3,0,0,0,4,23,79,1,0
2,10491,3,0,0,0,4,23,79,1,0
1,10492,3,0,0,0,7,30,79,1,0
2,10492,3,0,0,0,7,30,79,1,0
1,10493,3,0,0,0,10,38,78,1,0
2,10493,3,0,0,0,10,38,78,1,0
1,10495,3,0,0,0,19,55,78,1,0
2,10495,3,0,0,0,19,55,78,1,0
1,10496,3,0,0,0,25,63,78,1,0
2,10496,3,0,0,0,25,63,78,1,0
1,10497,3,0,0,0,32,72,78,1,0
2,10497,3,0,0,0,32,72,78,1,0
1,10498,3,0,0,0,40,80,78,1,0
2,10498,3,0,0,0,40,80,78,1,0
1,10499,3,0,0,0,48,89,78,1,0
2,10499,3,0,0,0,48,89,78,1,0
1,10519,3,0,0,0,305,193,78,1,0
1,10522,3,0,0,0,341,192,78,1,0
2,10522,3,0,0,0,341,192,78,1,0
1,10525,3,0,0,0,375,188,78,1,0
2,10525,3,0,0,0,375,188,78,1,0
1,10529,4,0,0,0,425,174,78,1,0
1,10530,4,0,0,0,439,170,78,1,0
1,10533,4,0,0,0,484,161,78,1,0
1,10534,4,0,0,0,499,158,78,1,0
1,10536,4,0,0,0,533,154,78,1,0
2,10536,4,0,0,0,533,154,78,1,0
1,10537,4,0,0,0,550,153,78,1,0
2,10537,4,0,0,0,550,153,78,1,0
1,10538,4,0,0,0,568,152,78,1,0
2,10538,4,0,0,0,568,152,78,1,0
1,10539,4,0,0,0,587,151,78,1,0
2,10539,4,0,0,0,587,151,78,1,0
1,10540,4,0,0,0,606,150,79,1,0
2,10540,4,0,0,0,606,150,79,1,0
1,10541,4,0,0,0,625,150,78,1,0
1,10542,4,0,0,0,645,149,79,1,0
2,10542,4,0,0,0,645,149,79,1,0
1,10543,4,0,0,0,666,149,78,1,0
2,10543,4,0,0,0,666,149,78,1,0
1,10544,4,0,0,0,686,149,79,1,0
1,10545,4,0,0,0,707,150,79,1,0
2,10545,4,0,0,0,707,150,79,1,0
1,10546,4,0,0,0,728,150,79,1,0
2,10546,4,0,0,0,728,150,79,1,0
1,10548,4,0,0,0,771,151,79,1,0
2,10548,4,0,0,0,771,151,79,1,0
1,10550,4,0,0,0,815,152,79,1,0
1,10551,4,0,0,0,836,152,79,1,0
1,10552,4,0,0,0,858,153,79,1,0
2,10556,4,0,0,0,946,155,79,1,0
1,10562,4,0,0,0,1074,157,79,1,0
1,10564,4,0,0,0,1116,158,79,1,0
1,10571,4,0,0,0,1257,157,79,1,0
1,10572,4,0,0,0,1276,157,79,1,0
1,10575,4,0,0,0,1332,156,79,1,0
1,10576,4,0,0,0,1351,155,79,1,0
1,10578,4,0,0,0,1386,154,79,1,0
1,10579,4,0,0,0,1404,153,79,1,0
2,10579,4,0,0,0,1404,153,79,1,0
1,10580,4,0,0,0,1421,152,79,1,0
2,10580,4,0,0,0,1421,152,79,1,0
1,10581,4,0,0,0,1438,152,79,1,0
2,10581,4,0,0,0,1438,152,79,1,0
1,10582,4,0,0,0,1455,151,79,1,0
1,10585,4,0,0,0,1504,148,79,1,0
2,10585,4,0,0,0,1504,148,79,1,0
1,10586,4,0,0,0,1520,147,79,1,0
2,10586,4,0,0,0,1520,147,79,1,0
2,10587,4,0,0,0,1536,146,79,1,0
1,10588,4,0,0,0,1551,145,79,1,0
2,10588,4,0,0,0,1551,145,79,1,0
1,10589,4,0,0,0,1567,144,79,1,0
2,10589,4,0,0,0,1567,144,79,1,0
1,10590,4,0,0,0,1582,143,79,1,0
1,10593,4,0,0,0,1625,139,79,1,0
2,10593,4,0,0,0,1625,139,79,1,0
1,10594,4,0,0,0,1639,138,79,1,0
2,10594,4,0,0,0,1639,138,79,1,0
1,10595,4,0,0,0,1653,136,79,1,0
1,10596,4,0,0,0,1667,135,79,1,0
2,10596,4,0,0,0,1667,135,79,1,0
1,10597,4,0,0,0,1680,134,79,1,0
2,10597,4,0,0,0,1680,134,79,1,0
1,10598,4,0,0,0,1693,132,79,1,0
2,10598,4,0,0,0,1693,132,79,1,0
1,10600,4,0,0,0,1719,129,79,1,0
2,10600,4,0,0,0,1719,129,79,1,0
1,10601,4,0,0,0,1732,128,79,1,0
1,10602,4,0,0,0,1744,127,79,1,0
2,10602,4,0,0,0,1744,127,79,1,0
1,10603,4,0,0,0,1756,125,79,1,0
2,10603,4,0,0,0,1756,125,79,1,0
1,10604,4,0,0,0,1768,124,79,1,0
2,10604,4,0,0,0,1768,124,79,1,0
