link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,10851,3,0,393899,-82897,4,40,99,1,1
2,10851,3,0,393899,-82897,4,40,99,1,1
1,10852,3,0,393899,-82897,9,60,99,1,1
2,10852,3,0,393899,-82897,9,60,99,1,1
1,10853,3,0,393899,-82897,16,80,99,1,1
2,10853,3,0,393899,-82897,16,80,99,1,1
1,10854,3,0,393899,-82897,25,99,99,1,1
2,10854,3,0,393899,-82897,25,99,99,1,1
1,10855,3,0,393899,-82897,36,119,99,1,1
2,10855,3,0,393899,-82897,36,119,99,1,1
1,10856,3,0,393899,-82897,49,140,99,1,1
1,10858,3,0,393899,-82897,81,183,99,1,1
1,10861,3,0,393899,-82897,144,243,99,1,1
2,10861,3,0,393899,-82897,144,243,99,1,1
1,10863,3,0,393899,-82897,195,281,99,1,1
2,10863,3,0,393899,-82897,195,281,99,1,1
1,10864,3,0,393899,-82897,223,299,99,1,1
1,10865,3,0,393899,-82896,253,317,99,1,1
2,10865,3,0,393899,-82896,253,317,99,1,1
1,10866,3,0,393899,-82896,283,335,99,1,1
1,10867,3,0,393899,-82896,316,349,99,1,1
1,10868,3,0,393899,-82896,350,350,99,1,1
2,10868,3,0,393899,-82896,350,350,99,1,1
1,10869,4,0,393899,-82896,383,345,99,1,1
2,10869,4,0,393899,-82896,383,345,99,1,1
1,10870,4,0,393899,-82896,414,339,99,1,1
2,10870,4,0,393899,-82896,414,339,99,1,1
1,10871,4,0,393899,-82896,445,333,99,1,1
2,10871,4,0,393899,-82896,445,333,99,1,1
1,10872,4,0,393899,-82896,474,326,99,1,1
2,10872,4,0,393899,-82896,474,326,99,1,1
1,10875,4,0,393899,-82896,549,303,99,1,1
2,10875,4,0,393899,-82896,549,303,99,1,1
1,10876,4,0,393899,-82896,571,295,99,1,1
2,10876,4,0,393899,-82896,571,295,99,1,1
2,10878,4,0,393899,-82896,614,281,99,1,1
1,10879,4,0,393899,-82895,635,274,99,1,1
2,10879,4,0,393899,-82895,635,274,99,1,1
1,10880,4,0,393899,-82895,655,267,99,1,1
2,10880,4,0,393899,-82895,655,267,99,1,1
1,10883,4,0,393899,-82895,716,249,99,1,1
1,10884,4,0,393899,-82895,736,244,99,1,1
2,10885,4,0,393899,-82895,756,239,99,1,1
1,10886,4,0,393899,-82895,776,235,99,1,1
2,10886,4,0,393899,-82895,776,235,99,1,1
1,10887,4,0,393899,-82895,797,231,99,1,1
2,10887,4,0,393899,-82895,797,231,99,1,1
1,10888,4,0,393899,-82895,818,227,99,1,1
1,10889,4,0,393900,-82894,839,224,99,1,1
2,10890,4,0,393900,-82894,861,221,99,1,1
1,10893,4,0,393900,-82894,928,214,99,1,1
2,10893,4,0,393900,-82894,928,214,99,1,1
1,10894,4,0,393900,-82894,951,212,99,1,1
2,10894,4,0,393900,-82894,951,212,99,1,1
1,10895,4,0,393900,-82894,974,211,99,1,1
2,10895,4,0,393900,-82894,974,211,99,1,1
1,10896,4,0,393900,-82894,998,210,99,1,1
2,10896,4,0,393900,-82894,998,210,99,1,1
1,10897,4,0,393900,-82894,1021,208,99,1,1
1,10898,4,0,393900,-82894,1046,207,99,1,1
1,10901,4,0,393900,-82894,1119,205,99,1,1
2,10901,4,0,393900,-82894,1119,205,99,1,1
1,10902,4,0,393900,-82894,1144,205,99,1,1
2,10902,4,0,393900,-82894,1144,205,99,1,1
1,10903,4,0,393900,-82894,1169,204,99,1,1
2,10903,4,0,393900,-82894,1169,204,99,1,1
1,10904,4,0,393900,-82894,1194,204,99,1,1
2,10904,4,0,393900,-82894,1194,204,99,1,1
1,10905,4,0,393900,-82894,1219,203,99,1,1
2,10905,4,0,393900,-82894,1219,203,99,1,1
1,10906,4,0,393900,-82894,1245,203,99,1,1
1,10908,4,0,393900,-82894,1295,203,99,1,1
2,10908,4,0,393900,-82894,1295,203,99,1,1
1,10909,4,0,393900,-82894,1320,202,99,1,1
2,10909,4,0,393900,-82894,1320,202,99,1,1
1,10910,4,0,393900,-82894,1345,202,99,1,1
2,10910,4,0,393900,-82894,1345,202,99,1,1
1,10911,4,0,393900,-82894,1370,202,99,1,1
2,10911,4,0,393900,-82894,1370,202,99,1,1
1,10912,4,0,393900,-82894,1395,202,99,1,1
2,10912,4,0,393900,-82894,1395,202,99,1,1
1,10914,4,0,393900,-82894,1445,201,99,1,1
2,10914,4,0,393900,-82894,1445,201,99,1,1
1,10916,4,0,393900,-82894,1494,201,99,1,1
2,10916,4,0,393900,-82894,1494,201,99,1,1
1,10917,4,0,393900,-82894,1519,201,99,1,1
2,10917,4,0,393900,-82894,1519,201,99,1,1
1,10918,4,0,393900,-82894,1543,200,99,1,1
2,10918,4,0,393900,-82894,1543,200,99,1,1
2,10919,4,0,393900,-82894,1568,200,99,1,1
1,10922,4,0,393900,-82894,1640,199,99,1,1
2,10922,4,0,393900,-82894,1640,199,99,1,1
1,10923,4,0,393900,-82894,1663,199,99,1,1
1,10924,4,0,393900,-82894,1687,198,99,1,1
2,10924,4,0,393900,-82894,1687,198,99,1,1
1,10925,4,0,393900,-82894,1710,198,99,1,1
2,10925,4,0,393900,-82894,1710,198,99,1,1
1,10926,4,0,393900,-82894,1734,197,99,1,1
2,10926,4,0,393900,-82894,1734,197,99,1,1
1,10927,4,0,393900,-82894,1757,197,99,1,1
2,10927,4,0,393900,-82894,1757,197,99,1,1
2,10930,4,0,393900,-82894,1824,195,99,1,1
1,10930,4,0,393900,-82894,1824,195,99,1,1
1,10931,4,0,393900,-82894,1847,194,99,1,1
2,10931,4,0,393900,-82894,1847,194,99,1,1
1,10932,4,0,393900,-82894,1869,193,99,1,1
2,10932,4,0,393900,-82894,1869,193,99,1,1
1,10933,4,0,393900,-82894,1890,193,99,1,1
2,10933,4,0,393900,-82894,1890,193,99,1,1
1,10934,4,0,393900,-82894,1912,192,99,1,1
1,10936,4,0,393900,-82894,1955,190,99,1,1
2,10936,4,0,393900,-82894,1955,190,99,1,1
1,10937,4,0,393900,-82894,1975,189,99,1,1
2,10937,4,0,393900,-82894,1975,189,99,1,1
1,10938,4,0,393900,-82894,1996,188,99,1,1
2,10938,4,0,393900,-82894,1996,188,99,1,1
1,10939,4,0,393900,-82894,2017,187,99,1,1
2,10939,4,0,393900,-82894,2017,187,99,1,1
1,10940,4,0,393900,-82894,2037,186,99,1,1
2,10940,4,0,393900,-82894,2037,186,99,1,1
1,10941,4,0,393900,-82894,2057,185,99,1,1
2,10941,4,0,393900,-82894,2057,185,99,1,1
1,10943,4,0,393900,-82894,2096,183,99,1,1
2,10945,4,0,393900,-82894,2135,181,99,1,1
1,10946,4,0,393900,-82894,2154,180,99,1,1
2,10946,4,0,393900,-82894,2154,180,99,1,1
1,10947,4,0,393900,-82894,2173,178,99,1,1
2,10947,4,0,393900,-82894,2173,178,99,1,1
1,10948,4,0,393900,-82894,2191,177,99,1,1
2,10948,4,0,393900,-82894,2191,177,99,1,1
1,10950,4,0,393900,-82894,2228,175,99,1,1
1,10951,4,0,393900,-82894,2246,173,99,1,1
2,10951,4,0,393900,-82894,2246,173,99,1,1
1,10952,4,0,393900,-82894,2263,172,99,1,1
2,10952,4,0,393900,-82894,2263,172,99,1,1
1,10953,4,0,393900,-82894,2281,171,99,1,1
2,10953,4,0,393900,-82894,2281,171,99,1,1
2,10954,4,0,393900,-82894,2298,169,99,1,1
1,10955,4,0,393900,-82894,2315,168,99,1,1
2,10955,4,0,393900,-82894,2315,168,99,1,1
1,10958,4,0,393900,-82894,2365,164,99,1,1
2,10958,4,0,393900,-82894,2365,164,99,1,1
1,10959,4,0,393900,-82894,2382,163,99,1,1
2,10959,4,0,393900,-82894,2382,163,99,1,1
1,10960,4,0,393900,-82894,2398,161,99,1,1
2,10960,4,0,393900,-82894,2398,161,99,1,1
1,10961,4,0,393900,-82894,2414,160,99,1,1
2,10961,4,0,393900,-82894,2414,160,99,1,1
2,10962,4,0,393900,-82894,2430,158,99,1,1
1,10963,4,0,393900,-82894,2446,157,99,1,1
2,10963,4,0,393900,-82894,2446,157,99,1,1
1,10966,4,0,393900,-82894,2491,153,99,1,1
2,10966,4,0,393900,-82894,2491,153,99,1,1
1,10967,4,0,393900,-82894,2506,151,99,1,1
2,10967,4,0,393900,-82894,2506,151,99,1,1
1,10968,4,0,393900,-82894,2521,150,99,1,1
2,10968,4,0,393900,-82894,2521,150,99,1,1
1,10969,4,0,393900,-82894,2536,148,99,1,1
2,10969,4,0,393900,-82894,2536,148,99,1,1
1,10970,4,0,393900,-82894,2550,147,99,1,1
2,10970,4,0,393900,-82894,2550,147,99,1,1
1,10972,4,0,393900,-82894,2578,144,99,1,1
2,10972,4,0,393900,-82894,2578,144,99,1,1
1,10973,4,0,393900,-82894,2592,143,99,1,1
2,10973,4,0,393900,-82894,2592,143,99,1,1
1,10974,4,0,393900,-82894,2606,141,99,1,1
1,10976,4,0,393900,-82894,2633,138,99,1,1
2,10976,4,0,393900,-82894,2633,138,99,1,1
1,10977,4,0,393900,-82894,2646,137,99,1,1
2,10977,4,0,393900,-82894,2646,137,99,1,1
1,10980,4,0,393900,-82894,2685,132,99,1,1
2,10980,4,0,393900,-82894,2685,132,99,1,1
1,10981,4,0,393900,-82894,2698,131,99,1,1
2,10981,4,0,393900,-82894,2698,131,99,1,1
1,10982,4,0,393900,-82894,2710,130,99,1,1
2,10982,4,0,393900,-82894,2710,130,99,1,1
1,10983,4,0,393900,-82894,2723,128,99,1,1
2,10983,4,0,393900,-82894,2723,128,99,1,1
1,10984,4,0,393900,-82894,2735,127,99,1,1
2,10984,4,0,393900,-82894,2735,127,99,1,1
1,10987,4,0,393900,-82894,2771,123,99,1,1
2,10987,4,0,393900,-82894,2771,123,99,1,1
1,10988,4,0,393900,-82894,2783,121,99,1,1
2,10988,4,0,393900,-82894,2783,121,99,1,1
1,10989,4,0,393900,-82894,2794,120,99,1,1
2,10989,4,0,393900,-82894,2794,120,99,1,1
1,10990,4,0,393900,-82894,2806,118,99,1,1
2,10990,4,0,393900,-82894,2806,118,99,1,1
1,10991,4,0,393900,-82894,2817,117,99,1,1
2,10991,4,0,393900,-82894,2817,117,99,1,1
1,10995,4,0,393900,-82894,2861,112,99,1,1
2,10995,4,0,393900,-82894,2861,112,99,1,1
1,10996,4,0,393900,-82894,2871,110,99,1,1
2,10996,4,0,393900,-82894,2871,110,99,1,1
1,10997,4,0,393900,-82894,2882,109,99,1,1
1,10998,4,0,393900,-82894,2892,108,99,1,1
2,10998,4,0,393900,-82894,2892,108,99,1,1
1,10999,4,0,393900,-82894,2902,106,99,1,1
2,10999,4,0,393900,-82894,2902,106,99,1,1
1,11000,4,0,393900,-82894,2913,105,99,1,1
2,11000,4,0,393900,-82894,2913,105,99,1,1
1,11004,4,0,393900,-82894,2952,100,99,1,1
2,11004,4,0,393900,-82894,2952,100,99,1,1
1,11005,4,0,393900,-82894,2961,98,99,1,1
2,11005,4,0,393900,-82894,2961,98,99,1,1
1,11006,4,0,393900,-82894,2971,97,99,1,1
2,11006,4,0,393900,-82894,2971,97,99,1,1
1,11008,4,0,393900,-82894,2989,95,99,1,1
2,11008,4,0,393900,-82894,2989,95,99,1,1
1,11009,4,0,393900,-82894,2998,93,99,1,1
2,11009,4,0,393900,-82894,2998,93,99,1,1
1,11012,4,0,393900,-82894,3024,90,99,1,1
2,11012,4,0,393900,-82894,3024,90,99,1,1
1,11013,4,0,393900,-82894,3032,88,99,1,1
2,11013,4,0,393900,-82894,3032,88,99,1,1
1,11014,4,0,393900,-82894,3041,87,99,1,1
2,11014,4,0,393900,-82894,3041,87,99,1,1
1,11015,4,0,393900,-82894,3049,86,99,1,1
2,11015,4,0,393900,-82894,3049,86,99,1,1
2,11016,4,0,393900,-82894,3057,85,99,1,1
1,11018,4,0,393900,-82894,3073,82,99,1,1
2,11019,4,0,393900,-82894,3081,81,99,1,1
1,11020,4,0,393900,-82894,3089,80,99,1,1
2,11020,4,0,393900,-82894,3089,80,99,1,1
1,11021,4,0,393900,-82894,3096,78,99,1,1
2,11021,4,0,393900,-82894,3096,78,99,1,1
1,11022,4,0,393900,-82894,3104,77,99,1,1
2,11022,4,0,393900,-82894,3104,77,99,1,1
1,11023,4,0,393900,-82894,3112,76,99,1,1
2,11023,4,0,393900,-82894,3112,76,99,1,1
1,11025,4,0,393900,-82894,3127,74,99,1,1
2,11025,4,0,393900,-82894,3127,74,99,1,1
1,11026,4,0,393900,-82894,3134,73,99,1,1
