link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,26022,3,16,393900,-82893,2,12,80,0,0
2,26022,3,16,393900,-82893,2,12,80,0,0
1,26023,3,16,393900,-82893,3,16,80,0,0
2,26023,3,16,393900,-82893,3,16,80,0,0
1,26024,3,16,393900,-82893,5,19,80,0,0
2,26024,3,16,393900,-82893,5,19,80,0,0
1,26025,3,16,393900,-82893,7,22,80,0,0
2,26025,3,16,393900,-82893,7,22,80,0,0
1,26026,3,16,393900,-82893,10,26,80,0,0
2,26026,3,16,393900,-82893,10,26,80,0,0
1,26028,3,16,393900,-82893,16,33,80,0,0
2,26028,3,16,393900,-82893,16,33,80,0,0
1,26029,3,16,393900,-82893,19,36,80,0,0
2,26029,3,16,393900,-82893,19,36,80,0,0
1,26030,3,16,393900,-82892,23,39,80,0,0
2,26030,3,16,393900,-82892,23,39,80,0,0
1,26031,3,16,393900,-82892,27,43,80,0,0
2,26031,3,16,393900,-82892,27,43,80,0,0
1,26032,3,16,393900,-82892,32,46,80,0,0
2,26032,3,16,393900,-82892,32,46,80,0,0
1,26033,3,16,393900,-82892,37,49,80,0,0
2,26033,3,16,393900,-82892,37,49,80,0,0
1,26034,3,16,393900,-82892,42,52,80,0,0
2,26034,3,16,393900,-82892,42,52,80,0,0
1,26035,3,16,393900,-82892,48,54,81,0,0
2,26035,3,16,393900,-82892,48,54,81,0,0
1,26036,3,16,393900,-82892,53,55,80,0,0
2,26036,3,16,393900,-82892,53,55,80,0,0
1,26037,4,16,393900,-82892,59,54,80,0,0
2,26037,4,16,393900,-82892,59,54,80,0,0
1,26038,4,16,393900,-82892,65,54,80,0,0
2,26038,4,16,393900,-82892,65,54,80,0,0
1,26039,4,16,393900,-82892,72,54,80,0,0
2,26039,4,16,393900,-82892,72,54,80,0,0
1,26040,4,16,393900,-82892,78,54,80,0,0
2,26040,4,16,393900,-82892,78,54,80,0,0
1,26041,4,16,393900,-82892,83,53,80,0,0
2,26041,4,16,393900,-82892,83,53,80,0,0
1,26042,4,16,393900,-82891,88,52,80,0,0
2,26042,4,16,393900,-82891,88,52,80,0,0
1,26045,4,16,393899,-82890,103,48,80,0,0
2,26045,4,16,393899,-82890,103,48,80,0,0
1,26046,4,16,393899,-82890,107,47,80,0,0
2,26046,4,16,393899,-82890,107,47,80,0,0
1,26047,4,16,393899,-82890,111,46,80,0,0
2,26047,4,16,393899,-82890,111,46,80,0,0
1,26048,4,16,393899,-82890,115,45,80,0,0
2,26048,4,16,393899,-82890,115,45,80,0,0
1,26049,4,16,393899,-82890,119,43,80,0,0
2,26049,4,16,393899,-82890,119,43,80,0,0
1,26051,4,16,393899,-82889,126,41,80,0,0
2,26051,4,16,393899,-82889,126,41,80,0,0
1,26055,4,16,393899,-82889,139,35,80,0,0
2,26055,4,16,393899,-82889,139,35,80,0,0
1,26059,4,16,393898,-82888,150,30,80,0,0
2,26059,4,16,393898,-82888,150,30,80,0,0
1,26060,4,16,393898,-82888,152,28,80,0,0
2,26060,4,16,393898,-82888,152,28,80,0,0
1,26061,4,16,393898,-82888,154,27,80,0,0
2,26061,4,16,393898,-82888,154,27,80,0,0
1,26063,4,16,393898,-82887,159,24,80,0,0
1,26065,4,16,393898,-82887,163,22,80,0,0
2,26065,4,16,393898,-82887,163,22,80,0,0
1,26066,4,16,393898,-82887,165,20,80,0,0
2,26066,4,16,393898,-82887,165,20,80,0,0
1,26067,4,16,393898,-82887,166,19,80,0,0
2,26067,4,16,393898,-82887,166,19,80,0,0
1,26068,4,16,393898,-82887,168,18,80,0,0
2,26068,4,16,393898,-82887,168,18,80,0,0
1,26069,4,16,393898,-82887,170,17,80,0,0
1,26071,4,16,393898,-82886,174,16,81,0,0
2,26071,4,16,393898,-82886,174,16,81,0,0
1,26072,4,16,393898,-82886,176,15,80,0,0
2,26072,4,16,393898,-82886,176,15,80,0,0
1,26073,4,16,393897,-82886,177,14,80,0,0
2,26073,4,16,393897,-82886,177,14,80,0,0
1,26074,4,16,393897,-82886,179,13,80,0,0
2,26074,4,16,393897,-82886,179,13,80,0,0
1,26075,4,16,393898,-82886,180,13,80,0,0
1,26076,4,16,393898,-82886,182,12,81,0,0
2,26076,4,16,393898,-82886,182,12,81,0,0
2,26078,4,16,393897,-82886,185,10,80,0,0
1,26079,4,16,393897,-82886,186,9,81,0,0
2,26079,4,16,393897,-82886,186,9,81,0,0
1,26080,4,16,393897,-82885,187,9,80,0,0
