link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,12097,3,8,393899,-82897,4,29,67,1,1
1,12098,3,8,393899,-82897,7,39,67,1,1
2,12098,3,8,393899,-82897,7,39,67,1,1
1,12099,3,8,393899,-82897,12,48,67,1,1
1,12100,3,8,393899,-82897,17,57,67,1,1
2,12100,3,8,393899,-82897,17,57,67,1,1
2,12101,3,8,393899,-82897,23,66,67,1,1
1,12101,3,8,393899,-82897,23,66,67,1,1
1,12102,3,8,393899,-82897,30,75,68,1,1
2,12102,3,8,393899,-82897,30,75,68,1,1
1,12104,3,8,393899,-82897,47,94,67,1,1
2,12104,3,8,393899,-82897,47,94,67,1,1
1,12106,3,8,393899,-82897,68,112,67,1,1
2,12106,3,8,393899,-82897,68,112,67,1,1
1,12107,3,8,393899,-82897,80,122,68,1,1
2,12107,3,8,393899,-82897,80,122,68,1,1
1,12108,3,8,393899,-82897,92,131,67,1,1
2,12108,3,8,393899,-82897,92,131,67,1,1
1,12109,3,8,393899,-82897,106,141,67,1,1
2,12109,3,8,393899,-82897,106,141,67,1,1
1,12111,3,8,393899,-82897,135,159,67,1,1
2,12111,3,8,393899,-82897,135,159,67,1,1
1,12112,3,8,393899,-82897,152,168,67,1,1
2,12112,3,8,393899,-82897,152,168,67,1,1
1,12113,3,8,393899,-82897,169,177,67,1,1
2,12113,3,8,393899,-82897,169,177,67,1,1
1,12114,3,8,393899,-82897,186,185,67,1,1
2,12114,3,8,393899,-82897,186,185,67,1,1
1,12115,3,8,393899,-82897,205,193,67,1,1
2,12115,3,8,393899,-82897,205,193,67,1,1
2,12117,3,8,393899,-82897,243,207,67,1,1
1,12117,3,8,393899,-82897,243,207,67,1,1
1,12118,3,8,393899,-82897,263,214,67,1,1
2,12118,3,8,393899,-82897,263,214,67,1,1
1,12119,3,8,393899,-82897,283,220,67,1,1
2,12119,3,8,393899,-82897,283,220,67,1,1
1,12120,3,8,393899,-82897,304,227,67,1,1
2,12120,3,8,393899,-82897,304,227,67,1,1
1,12121,3,8,393899,-82897,325,232,67,1,1
2,12121,3,8,393899,-82897,325,232,67,1,1
1,12123,3,8,393899,-82897,369,242,67,1,1
2,12123,3,8,393899,-82897,369,242,67,1,1
1,12124,3,8,393899,-82897,391,247,67,1,1
2,12124,3,8,393899,-82897,391,247,67,1,1
1,12125,3,8,393899,-82897,414,252,67,1,1
2,12125,3,8,393899,-82897,414,252,67,1,1
1,12126,3,8,393899,-82897,437,256,67,1,1
2,12126,3,8,393899,-82897,437,256,67,1,1
1,12127,3,8,393899,-82897,459,259,67,1,1
