link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,5601,3,8,393900,-82895,0,7,78,1,1
1,5602,3,8,393900,-82895,1,14,78,1,1
2,5602,3,8,393900,-82895,1,14,78,1,1
1,5603,3,8,393900,-82895,3,20,78,1,1
2,5603,3,8,393900,-82895,3,20,78,1,1
1,5605,3,8,393900,-82895,8,34,79,1,1
2,5605,3,8,393900,-82895,8,34,79,1,1
1,5606,3,8,393900,-82895,12,41,79,1,1
2,5606,3,8,393900,-82895,12,41,79,1,1
1,5607,3,8,393900,-82895,17,49,78,1,1
2,5607,3,8,393900,-82895,17,49,78,1,1
1,5610,3,8,393900,-82895,35,72,78,1,1
2,5610,3,8,393900,-82895,35,72,78,1,1
1,5611,3,8,393900,-82895,43,81,78,1,1
2,5611,3,8,393900,-82895,43,81,78,1,1
1,5612,3,8,393900,-82895,51,89,78,1,1
2,5612,3,8,393900,-82895,51,89,78,1,1
1,5613,3,8,393900,-82895,61,98,78,1,1
2,5613,3,8,393900,-82895,61,98,78,1,1
1,5614,3,8,393900,-82895,71,106,78,1,1
2,5614,3,8,393900,-82895,71,106,78,1,1
1,5616,3,8,393899,-82895,94,124,79,1,1
2,5616,3,8,393899,-82895,94,124,79,1,1
1,5617,3,8,393899,-82895,107,132,78,1,1
1,5618,3,8,393899,-82895,121,141,78,1,1
2,5618,3,8,393899,-82895,121,141,78,1,1
1,5619,3,8,393899,-82894,135,149,78,1,1
2,5619,3,8,393899,-82894,135,149,78,1,1
1,5620,3,8,393899,-82894,149,157,78,1,1
2,5620,3,8,393899,-82894,149,157,78,1,1
1,5622,3,8,393899,-82894,180,172,79,1,1
2,5622,3,8,393899,-82894,180,172,79,1,1
1,5623,3,8,393899,-82894,196,178,78,1,1
2,5623,3,8,393899,-82894,196,178,78,1,1
1,5625,3,8,393899,-82894,228,190,79,1,1
2,5625,3,8,393899,-82894,228,190,79,1,1
1,5626,3,8,393899,-82894,245,196,79,1,1
2,5626,3,8,393899,-82894,245,196,79,1,1
1,5627,3,8,393899,-82894,262,201,79,1,1
2,5628,3,8,393899,-82894,282,207,78,1,1
1,5631,3,8,393899,-82894,383,244,79,1,1
