link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,26600,3,0,393900,-82895,0,8,82,1,1
1,26601,3,0,393900,-82895,1,17,81,1,1
1,26602,3,0,393900,-82895,3,25,82,1,1
2,26602,3,0,393900,-82895,3,25,82,1,1
1,26603,3,0,393900,-82895,6,34,82,1,1
2,26603,3,0,393900,-82895,6,34,82,1,1
1,26604,3,0,393900,-82895,10,43,82,1,1
2,26604,3,0,393900,-82895,10,43,82,1,1
1,26605,3,0,393900,-82895,15,53,82,1,1
2,26605,3,0,393900,-82895,15,53,82,1,1
1,26607,3,0,393900,-82895,28,70,82,1,1
1,26609,3,0,393900,-82895,44,88,82,1,1
1,26610,3,0,393900,-82895,53,97,82,1,1
2,26610,3,0,393900,-82895,53,97,82,1,1
1,26611,3,0,393900,-82895,63,106,81,1,1
2,26611,3,0,393900,-82895,63,106,81,1,1
1,26612,3,0,393900,-82895,74,116,82,1,1
2,26612,3,0,393900,-82895,74,116,82,1,1
1,26614,3,0,393900,-82896,100,134,81,1,1
2,26614,3,0,393900,-82896,100,134,81,1,1
1,26616,3,0,393900,-82896,130,153,82,1,1
1,26622,3,0,393900,-82896,246,206,82,1,1
1,26628,3,0,393900,-82896,402,254,82,1,1
1,26629,3,0,393900,-82896,432,261,82,1,1
2,26629,3,0,393900,-82896,432,261,82,1,1
1,26630,3,0,393900,-82896,462,268,82,1,1
2,26630,3,0,393900,-82896,462,268,82,1,1
1,26631,3,0,393901,-82898,493,275,82,1,1
2,26631,3,0,393901,-82898,493,275,82,1,1
1,26632,3,0,393901,-82898,525,281,82,1,1
1,26635,3,0,393901,-82898,625,299,82,1,1
1,26641,4,0,393901,-82899,830,314,82,1,1
2,26641,4,0,393901,-82899,830,314,82,1,1
1,26646,4,0,393901,-82900,975,297,82,1,1
2,26646,4,0,393901,-82900,975,297,82,1,1
1,26655,4,0,393895,-82904,1189,260,81,1,1
2,26655,4,0,393895,-82904,1189,260,81,1,1
1,26658,4,0,393894,-82904,1252,247,82,1,1
2,26658,4,0,393894,-82904,1252,247,82,1,1
1,26663,4,0,393894,-82904,1352,228,82,1,1
1,26665,4,0,393894,-82904,1389,221,81,1,1
