link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
2,19776,3,0,393898,-82900,11,14,76,0,0
1,19777,3,0,393898,-82900,13,17,76,0,0
2,19777,3,0,393898,-82900,13,17,76,0,0
1,19778,3,0,393898,-82900,15,22,76,0,0
2,19778,3,0,393898,-82900,15,22,76,0,0
1,19779,3,0,393898,-82900,18,27,77,0,0
2,19779,3,0,393898,-82900,18,27,77,0,0
1,19780,3,0,393898,-82900,21,33,76,0,0
2,19780,3,0,393898,-82900,21,33,76,0,0
1,19781,3,0,393898,-82900,24,40,76,0,0
1,19783,3,0,393898,-82900,34,52,77,0,0
2,19783,3,0,393898,-82900,34,52,77,0,0
1,19785,3,0,393898,-82900,46,64,76,0,0
2,19785,3,0,393898,-82900,46,64,76,0,0
1,19786,3,0,393898,-82900,53,70,76,0,0
2,19786,3,0,393898,-82900,53,70,76,0,0
2,19787,3,0,393898,-82900,60,76,76,0,0
1,19787,3,0,393898,-82900,60,76,76,0,0
1,19788,3,0,393898,-82900,68,82,76,0,0
2,19788,3,0,393898,-82900,68,82,76,0,0
1,19790,3,0,393898,-82900,86,93,76,0,0
2,19790,3,0,393898,-82900,86,93,76,0,0
1,19791,3,0,393898,-82900,97,99,76,0,0
2,19791,3,0,393898,-82900,97,99,76,0,0
1,19792,3,0,393898,-82900,107,104,76,0,0
2,19792,3,0,393898,-82900,107,104,76,0,0
1,19794,3,0,393898,-82900,131,115,77,0,0
2,19794,3,0,393898,-82900,131,115,77,0,0
1,19795,3,0,393898,-82900,144,120,76,0,0
2,19795,3,0,393898,-82900,144,120,76,0,0
1,19797,3,0,393898,-82900,171,129,76,0,0
2,19797,3,0,393898,-82900,171,129,76,0,0
1,19798,3,0,393898,-82900,185,129,76,0,0
2,19798,3,0,393898,-82900,185,129,76,0,0
1,19799,4,0,393899,-82901,199,129,76,0,0
1,19800,4,0,393899,-82901,212,128,76,0,0
2,19800,4,0,393899,-82901,212,128,76,0,0
1,19801,4,0,393899,-82901,225,127,76,0,0
2,19801,4,0,393899,-82901,225,127,76,0,0
1,19802,4,0,393899,-82901,238,126,76,0,0
1,19804,4,0,393899,-82901,262,124,76,0,0
2,19804,4,0,393899,-82901,262,124,76,0,0
1,19805,4,0,393899,-82901,273,123,77,0,0
2,19805,4,0,393899,-82901,273,123,77,0,0
1,19806,4,0,393899,-82902,284,121,76,0,0
2,19806,4,0,393899,-82902,284,121,76,0,0
1,19807,4,0,393899,-82902,295,120,77,0,0
2,19807,4,0,393899,-82902,295,120,77,0,0
1,19808,4,0,393899,-82902,306,118,76,0,0
2,19808,4,0,393899,-82902,306,118,76,0,0
1,19811,4,0,393901,-82902,337,113,77,0,0
2,19811,4,0,393901,-82902,337,113,77,0,0
1,19812,4,0,393901,-82902,347,112,76,0,0
2,19812,4,0,393901,-82902,347,112,76,0,0
1,19814,4,0,393901,-82902,366,108,76,0,0
2,19814,4,0,393901,-82902,366,108,76,0,0
1,19815,4,0,393901,-82902,375,107,76,0,0
2,19815,4,0,393901,-82902,375,107,76,0,0
1,19816,4,0,393903,-82901,384,105,77,0,0
2,19816,4,0,393903,-82901,384,105,77,0,0
1,19820,4,0,393905,-82901,415,97,76,0,0
1,19821,4,0,393905,-82901,422,95,76,0,0
2,19821,4,0,393905,-82901,422,95,76,0,0
1,19822,4,0,393905,-82901,429,92,76,0,0
2,19822,4,0,393905,-82901,429,92,76,0,0
1,19823,4,0,393905,-82901,435,90,76,0,0
2,19823,4,0,393905,-82901,435,90,76,0,0
1,19824,4,0,393906,-82901,442,88,76,0,0
1,19825,4,0,393906,-82901,447,86,77,0,0
2,19825,4,0,393906,-82901,447,86,77,0,0
1,19827,4,0,393907,-82901,459,81,76,0,0
2,19827,4,0,393907,-82901,459,81,76,0,0
1,19828,4,0,393907,-82901,464,79,76,0,0
2,19828,4,0,393907,-82901,464,79,76,0,0
1,19830,4,0,393908,-82901,475,76,76,0,0
2,19830,4,0,393908,-82901,475,76,76,0,0
1,19831,4,0,393908,-82901,480,74,76,0,0
2,19831,4,0,393908,-82901,480,74,76,0,0
1,19832,4,0,393908,-82901,486,72,77,0,0
2,19832,4,0,393908,-82901,486,72,77,0,0
1,19835,4,0,393908,-82901,502,67,76,0,0
2,19835,4,0,393908,-82901,502,67,76,0,0
1,19836,4,0,393908,-82901,507,65,76,0,0
2,19836,4,0,393908,-82901,507,65,76,0,0
1,19837,4,0,393908,-82901,513,64,76,0,0
2,19837,4,0,393908,-82901,513,64,76,0,0
1,19838,4,0,393908,-82901,519,63,76,0,0
2,19838,4,0,393908,-82901,519,63,76,0,0
1,19839,4,0,393911,-82898,524,61,76,0,0
2,19839,4,0,393911,-82898,524,61,76,0,0
1,19840,4,0,393912,-82896,530,60,76,0,0
1,19847,4,0,393914,-82894,571,54,76,0,0
1,19854,4,0,393915,-82889,610,49,76,0,0
1,19858,4,0,393915,-82887,631,46,76,0,0
2,19858,4,0,393915,-82887,631,46,76,0,0
1,19863,4,0,393915,-82881,655,42,76,0,0
1,19868,4,0,393915,-82880,677,38,76,0,0
1,19870,4,0,393913,-82882,685,37,76,0,0
2,19870,4,0,393913,-82882,685,37,76,0,0
1,19871,4,0,393913,-82882,689,36,76,0,0
2,19874,4,0,393909,-82885,701,34,76,0,0
1,19874,4,0,393909,-82885,701,34,76,0,0
1,19875,4,0,393909,-82885,704,33,76,0,0
2,19875,4,0,393909,-82885,704,33,76,0,0
1,19876,4,0,393909,-82885,708,32,76,0,0
2,19876,4,0,393909,-82885,708,32,76,0,0
1,19877,4,0,393908,-82885,711,31,76,0,0
2,19877,4,0,393908,-82885,711,31,76,0,0
1,19878,4,0,393908,-82885,714,30,76,0,0
2,19878,4,0,393908,-82885,714,30,76,0,0
1,19880,4,0,393907,-82885,721,29,76,0,0
2,19880,4,0,393907,-82885,721,29,76,0,0
1,19882,4,0,393906,-82885,726,27,76,0,0
2,19882,4,0,393906,-82885,726,27,76,0,0
1,19883,4,0,393906,-82885,729,26,76,0,0
2,19883,4,0,393906,-82885,729,26,76,0,0
1,19884,4,0,393906,-82885,732,25,76,0,0
1,19885,4,0,393906,-82885,734,24,76,0,0
2,19885,4,0,393906,-82885,734,24,76,0,0
1,19886,4,0,393906,-82885,737,23,76,0,0
2,19886,4,0,393906,-82885,737,23,76,0,0
1,19888,4,0,393906,-82885,742,22,76,0,0
2,19888,4,0,393906,-82885,742,22,76,0,0
1,19890,4,0,393905,-82884,747,20,76,0,0
2,19890,4,0,393905,-82884,747,20,76,0,0
1,19891,4,0,393905,-82884,749,19,76,0,0
2,19891,4,0,393905,-82884,749,19,76,0,0
1,19892,4,0,393905,-82884,751,18,76,0,0
2,19892,4,0,393905,-82884,751,18,76,0,0
1,19894,4,0,393904,-82884,754,16,76,0,0
2,19894,4,0,393904,-82884,754,16,76,0,0
1,19897,4,0,393904,-82884,759,14,76,0,0
2,19897,4,0,393904,-82884,759,14,76,0,0
1,19898,4,0,393904,-82884,761,13,76,0,0
2,19898,4,0,393904,-82884,761,13,76,0,0
1,19899,4,0,393904,-82884,762,12,76,0,0
2,19899,4,0,393904,-82884,762,12,76,0,0
1,19900,4,0,393903,-82884,763,11,77,0,0
2,19900,4,0,393903,-82884,763,11,77,0,0
1,19901,4,0,393903,-82884,764,10,77,0,0
2,19901,4,0,393903,-82884,764,10,77,0,0
1,19903,4,0,393903,-82884,766,8,76,0,0
2,19903,4,0,393903,-82884,766,8,76,0,0
1,19905,4,0,393902,-82884,768,7,76,0,0
2,19905,4,0,393902,-82884,768,7,76,0,0
1,19906,4,0,393902,-82884,769,6,76,0,0
2,19906,4,0,393902,-82884,769,6,76,0,0
1,19907,4,0,393902,-82884,770,5,76,0,0
2,19907,4,0,393902,-82884,770,5,76,0,0
1,19908,4,0,393902,-82884,770,4,76,0,0
1,19911,4,0,393901,-82884,772,2,76,0,0
2,19911,4,0,393901,-82884,772,2,76,0,0
1,19912,4,0,393901,-82884,772,1,76,0,0
2,19912,4,0,393901,-82884,772,1,76,0,0
1,19914,4,0,393900,-82884,772,0,76,0,0
2,19914,4,0,393900,-82884,772,0,76,0,0
1,19915,4,0,393900,-82884,772,-1,76,0,0
2,19915,4,0,393900,-82884,772,-1,76,0,0
1,19916,4,0,393900,-82884,772,-2,76,0,0
2,19916,4,0,393900,-82884,772,-2,76,0,0
1,19920,5,0,393899,-82884,771,-2,76,0,0
2,19920,5,0,393899,-82884,771,-2,76,0,0
1,19921,5,0,393899,-82884,771,-2,76,0,0
2,19921,5,0,393899,-82884,771,-2,76,0,0
1,19922,5,0,393898,-82884,771,-2,76,0,0
2,19922,5,0,393898,-82884,771,-2,76,0,0
1,19923,5,0,393898,-82884,770,-2,77,0,0
2,19923,5,0,393898,-82884,770,-2,77,0,0
1,19924,5,0,393898,-82884,770,-2,77,0,0
2,19924,5,0,393898,-82884,770,-2,77,0,0
2,19926,5,0,393897,-82884,769,-3,76,0,0
1,19927,5,0,393897,-82884,768,-3,76,0,0
2,19927,5,0,393897,-82884,768,-3,76,0,0
1,19928,5,0,393897,-82884,767,-4,76,0,0
2,19928,5,0,393897,-82884,767,-4,76,0,0
1,19930,5,0,393897,-82884,765,-5,76,0,0
2,19930,5,0,393897,-82884,765,-5,76,0,0
1,19931,5,0,393897,-82884,763,-6,76,0,0
2,19931,5,0,393897,-82884,763,-6,76,0,0
1,19932,5,0,393897,-82884,762,-7,76,0,0
2,19932,5,0,393897,-82884,762,-7,76,0,0
1,19934,5,0,393895,-82885,758,-9,76,0,0
2,19934,5,0,393895,-82885,758,-9,76,0,0
1,19935,5,0,393895,-82885,756,-10,76,0,0
2,19935,5,0,393895,-82885,756,-10,76,0,0
1,19936,5,0,393895,-82885,754,-11,76,0,0
1,19938,5,0,393895,-82885,750,-12,75,0,0
1,19939,5,0,393895,-82885,749,-13,75,0,0
2,19939,5,0,393895,-82885,749,-13,75,0,0
1,19940,5,0,393895,-82885,746,-14,75,0,0
2,19940,5,0,393895,-82885,746,-14,75,0,0
1,19942,5,0,393895,-82885,743,-15,75,0,0
2,19942,5,0,393895,-82885,743,-15,75,0,0
1,19943,5,0,393895,-82885,741,-15,75,0,0
2,19943,5,0,393895,-82885,741,-15,75,0,0
1,19944,5,0,393893,-82885,738,-16,74,0,0
2,19944,5,0,393893,-82885,738,-16,74,0,0
1,19945,5,0,393893,-82885,737,-16,75,0,0
2,19945,5,0,393893,-82885,737,-16,75,0,0
1,19946,5,0,393892,-82886,734,-16,76,0,0
1,19950,5,0,393891,-82886,724,-20,76,0,0
2,19950,5,0,393891,-82886,724,-20,76,0,0
1,19951,5,0,393891,-82886,720,-22,76,0,0
2,19951,5,0,393891,-82886,720,-22,76,0,0
1,19952,5,0,393891,-82887,716,-23,76,0,0
2,19952,5,0,393891,-82887,716,-23,76,0,0
1,19954,5,0,393890,-82887,710,-24,76,0,0
2,19954,5,0,393890,-82887,710,-24,76,0,0
1,19955,5,0,393890,-82887,712,-20,77,0,0
2,19955,5,0,393890,-82887,712,-20,77,0,0
1,19959,5,0,393889,-82887,702,-24,76,0,0
2,19959,5,0,393889,-82887,702,-24,76,0,0
1,19960,5,0,393889,-82887,697,-26,76,0,0
2,19960,5,0,393889,-82887,697,-26,76,0,0
1,19961,5,0,393889,-82887,694,-27,76,0,0
2,19961,5,0,393889,-82887,694,-27,76,0,0
1,19962,5,0,393888,-82887,691,-26,76,0,0
2,19962,5,0,393888,-82887,691,-26,76,0,0
1,19963,5,0,393888,-82887,689,-26,76,0,0
2,19963,5,0,393888,-82887,689,-26,76,0,0
1,19965,5,0,393888,-82887,683,-27,76,0,0
2,19965,5,0,393888,-82887,683,-27,76,0,0
1,19966,5,0,393888,-82887,679,-28,76,0,0
2,19966,5,0,393888,-82887,679,-28,76,0,0
1,19967,5,0,393888,-82887,675,-29,76,0,0
2,19967,5,0,393888,-82887,675,-29,76,0,0
1,19968,5,0,393887,-82888,671,-30,76,0,0
2,19968,5,0,393887,-82888,671,-30,76,0,0
1,19970,5,0,393887,-82888,667,-28,76,0,0
2,19970,5,0,393887,-82888,667,-28,76,0,0
1,19974,5,0,393886,-82888,663,-22,76,0,0
2,19974,5,0,393886,-82888,663,-22,76,0,0
2,19975,5,0,393886,-82888,661,-21,76,0,0
1,19976,5,0,393886,-82888,660,-20,76,0,0
1,19977,5,0,393886,-82888,659,-19,77,0,0
2,19977,5,0,393886,-82888,659,-19,77,0,0
1,19978,5,0,393886,-82888,657,-19,76,0,0
2,19978,5,0,393886,-82888,657,-19,76,0,0
1,19979,5,0,393886,-82888,655,-19,77,0,0
2,19979,5,0,393886,-82888,655,-19,77,0,0
1,19981,5,0,393886,-82888,651,-19,76,0,0
2,19981,5,0,393886,-82888,651,-19,76,0,0
1,19982,5,0,393885,-82888,648,-20,76,0,0
2,19982,5,0,393885,-82888,648,-20,76,0,0
1,19983,5,0,393885,-82888,646,-21,76,0,0
2,19983,5,0,393885,-82888,646,-21,76,0,0
1,19986,5,0,393884,-82888,640,-20,76,0,0
2,19992,5,0,393883,-82889,626,-22,76,0,0
1,19999,5,0,393882,-82890,605,-26,77,0,0
1,20005,5,0,393881,-82890,586,-28,76,0,0
1,20007,5,0,393880,-82890,582,-27,76,0,0
2,20007,5,0,393880,-82890,582,-27,76,0,0
1,20008,5,0,393880,-82890,580,-26,76,0,0
2,20008,5,0,393880,-82890,580,-26,76,0,0
1,20009,5,0,393880,-82890,578,-25,76,0,0
2,20009,5,0,393880,-82890,578,-25,76,0,0
