link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,19776,3,0,393898,-82900,11,14,76,0,0
1,19777,3,0,393898,-82900,13,17,76,0,0
2,19777,3,0,393898,-82900,13,17,76,0,0
1,19778,3,0,393898,-82900,15,22,76,0,0
2,19778,3,0,393898,-82900,15,22,76,0,0
1,19779,3,0,393898,-82900,18,27,77,0,0
2,19779,3,0,393898,-82900,18,27,77,0,0
1,19780,3,0,393898,-82900,21,33,76,0,0
2,19780,3,0,393898,-82900,21,33,76,0,0
1,19781,3,0,393898,-82900,24,40,76,0,0
1,19785,3,0,393898,-82900,46,64,76,0,0
2,19785,3,0,393898,-82900,46,64,76,0,0
1,19786,3,0,393898,-82900,53,70,76,0,0
2,19786,3,0,393898,-82900,53,70,76,0,0
1,19787,3,0,393898,-82900,60,76,76,0,0
2,19787,3,0,393898,-82900,60,76,76,0,0
1,19788,3,0,393898,-82900,68,82,76,0,0
2,19788,3,0,393898,-82900,68,82,76,0,0
1,19790,3,0,393898,-82900,86,93,76,0,0
2,19790,3,0,393898,-82900,86,93,76,0,0
1,19791,3,0,393898,-82900,97,99,76,0,0
2,19791,3,0,393898,-82900,97,99,76,0,0
1,19792,3,0,393898,-82900,107,104,76,0,0
2,19792,3,0,393898,-82900,107,104,76,0,0
1,19794,3,0,393898,-82900,131,115,77,0,0
2,19794,3,0,393898,-82900,131,115,77,0,0
1,19795,3,0,393898,-82900,144,120,76,0,0
2,19795,3,0,393898,-82900,144,120,76,0,0
1,19796,3,0,393898,-82900,157,125,76,0,0
2,19796,3,0,393898,-82900,157,125,76,0,0
1,19800,4,0,393899,-82901,212,128,76,0,0
1,19808,4,0,393899,-82902,306,118,76,0,0
1,19821,4,0,393905,-82901,422,95,76,0,0
1,19826,4,0,393907,-82901,453,84,76,0,0
1,19834,4,0,393908,-82901,496,68,76,0,0
1,19836,4,0,393908,-82901,507,65,76,0,0
2,19836,4,0,393908,-82901,507,65,76,0,0
1,19837,4,0,393908,-82901,513,64,76,0,0
2,19837,4,0,393908,-82901,513,64,76,0,0
1,19838,4,0,393908,-82901,519,63,76,0,0
2,19838,4,0,393908,-82901,519,63,76,0,0
1,19840,4,0,393912,-82896,530,60,76,0,0
2,19840,4,0,393912,-82896,530,60,76,0,0
1,19841,4,0,393912,-82896,536,59,76,0,0
2,19841,4,0,393912,-82896,536,59,76,0,0
1,19842,4,0,393913,-82895,542,58,76,0,0
2,19842,4,0,393913,-82895,542,58,76,0,0
1,19843,4,0,393913,-82895,547,57,76,0,0
2,19843,4,0,393913,-82895,547,57,76,0,0
1,19844,4,0,393913,-82895,553,56,76,0,0
1,19856,4,0,393915,-82887,621,47,76,0,0
1,19862,4,0,393915,-82881,651,43,76,0,0
1,19868,4,0,393915,-82880,677,38,76,0,0
1,19874,4,0,393909,-82885,701,34,76,0,0
2,19874,4,0,393909,-82885,701,34,76,0,0
1,19877,4,0,393908,-82885,711,31,76,0,0
2,19877,4,0,393908,-82885,711,31,76,0,0
1,19882,4,0,393906,-82885,726,27,76,0,0
1,19887,4,0,393906,-82885,740,23,77,0,0
1,19894,4,0,393904,-82884,754,16,76,0,0
2,19898,4,0,393904,-82884,761,13,76,0,0
1,19898,4,0,393904,-82884,761,13,76,0,0
1,19899,4,0,393904,-82884,762,12,76,0,0
2,19899,4,0,393904,-82884,762,12,76,0,0
1,19900,4,0,393903,-82884,763,11,77,0,0
2,19900,4,0,393903,-82884,763,11,77,0,0
1,19901,4,0,393903,-82884,764,10,77,0,0
2,19901,4,0,393903,-82884,764,10,77,0,0
1,19902,4,0,393903,-82884,765,9,76,0,0
2,19902,4,0,393903,-82884,765,9,76,0,0
1,19904,4,0,393902,-82884,767,8,76,0,0
2,19904,4,0,393902,-82884,767,8,76,0,0
1,19905,4,0,393902,-82884,768,7,76,0,0
1,19906,4,0,393902,-82884,769,6,76,0,0
2,19906,4,0,393902,-82884,769,6,76,0,0
1,19907,4,0,393902,-82884,770,5,76,0,0
2,19907,4,0,393902,-82884,770,5,76,0,0
1,19908,4,0,393902,-82884,770,4,76,0,0
2,19908,4,0,393902,-82884,770,4,76,0,0
1,19910,4,0,393901,-82884,771,2,76,0,0
1,19912,4,0,393901,-82884,772,1,76,0,0
2,19912,4,0,393901,-82884,772,1,76,0,0
1,19914,4,0,393900,-82884,772,0,76,0,0
2,19914,4,0,393900,-82884,772,0,76,0,0
1,19915,4,0,393900,-82884,772,-1,76,0,0
2,19915,4,0,393900,-82884,772,-1,76,0,0
1,19916,4,0,393900,-82884,772,-2,76,0,0
2,19916,4,0,393900,-82884,772,-2,76,0,0
1,19917,5,0,393900,-82884,772,-2,76,0,0
1,19918,5,0,393900,-82884,772,-2,76,0,0
1,19921,5,0,393899,-82884,771,-2,76,0,0
2,19921,5,0,393899,-82884,771,-2,76,0,0
1,19922,5,0,393898,-82884,771,-2,76,0,0
2,19922,5,0,393898,-82884,771,-2,76,0,0
1,19923,5,0,393898,-82884,770,-2,77,0,0
2,19923,5,0,393898,-82884,770,-2,77,0,0
1,19925,5,0,393898,-82884,769,-3,76,0,0
