link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,12454,3,0,393902,-82890,0,8,82,1,1
2,12456,3,0,393902,-82890,3,22,82,1,1
1,12456,3,0,393902,-82890,3,22,82,1,1
1,12458,3,0,393902,-82890,9,38,81,1,1
2,12458,3,0,393902,-82890,9,38,81,1,1
1,12459,3,0,393902,-82890,13,46,81,1,1
2,12459,3,0,393902,-82890,13,46,81,1,1
1,12460,3,0,393902,-82890,18,54,82,1,1
2,12460,3,0,393902,-82890,18,54,82,1,1
1,12461,3,0,393902,-82890,24,62,81,1,1
2,12461,3,0,393902,-82890,24,62,81,1,1
1,12463,3,0,393902,-82890,38,79,82,1,1
2,12463,3,0,393902,-82890,38,79,82,1,1
1,12464,3,0,393902,-82890,47,87,82,1,1
2,12464,3,0,393902,-82890,47,87,82,1,1
1,12465,3,0,393902,-82890,56,95,81,1,1
2,12465,3,0,393902,-82890,56,95,81,1,1
1,12467,3,0,393902,-82890,77,112,81,1,1
2,12467,3,0,393902,-82890,77,112,81,1,1
1,12468,3,0,393902,-82890,88,120,81,1,1
1,12469,3,0,393902,-82890,101,128,82,1,1
2,12469,3,0,393902,-82890,101,128,82,1,1
1,12470,3,0,393902,-82890,114,137,81,1,1
2,12470,3,0,393902,-82890,114,137,81,1,1
1,12471,3,0,393902,-82890,128,145,82,1,1
2,12471,3,0,393902,-82890,128,145,82,1,1
1,12472,3,0,393902,-82890,143,153,82,1,1
2,12472,3,0,393902,-82890,143,153,82,1,1
1,12473,3,0,393902,-82890,158,161,81,1,1
2,12473,3,0,393902,-82890,158,161,81,1,1
1,12474,3,0,393902,-82890,175,169,81,1,1
2,12474,3,0,393902,-82890,175,169,81,1,1
1,12475,3,0,393902,-82890,192,177,81,1,1
2,12475,3,0,393902,-82890,192,177,81,1,1
1,12476,3,0,393902,-82890,209,185,82,1,1
2,12476,3,0,393902,-82890,209,185,82,1,1
1,12478,3,0,393902,-82890,247,200,81,1,1
2,12478,3,0,393902,-82890,247,200,81,1,1
1,12479,3,0,393902,-82890,267,207,82,1,1
2,12479,3,0,393902,-82890,267,207,82,1,1
1,12481,3,0,393902,-82890,308,221,82,1,1
2,12481,3,0,393902,-82890,308,221,82,1,1
1,12482,3,0,393902,-82890,330,228,81,1,1
2,12482,3,0,393902,-82890,330,228,81,1,1
1,12483,3,0,393902,-82890,352,235,82,1,1
2,12483,3,0,393902,-82890,352,235,82,1,1
1,12485,3,0,393902,-82890,399,249,82,1,1
1,12486,3,0,393902,-82890,423,256,81,1,1
1,12487,3,0,393902,-82890,448,263,81,1,1
2,12487,3,0,393902,-82890,448,263,81,1,1
1,12489,3,0,393902,-82890,499,277,81,1,1
2,12489,3,0,393902,-82890,499,277,81,1,1
1,12490,3,0,393902,-82891,526,283,82,1,1
2,12490,3,0,393902,-82891,526,283,82,1,1
1,12491,3,0,393902,-82891,554,290,82,1,1
2,12491,3,0,393902,-82891,554,290,82,1,1
1,12492,3,0,393902,-82891,583,297,81,1,1
2,12492,3,0,393902,-82891,583,297,81,1,1
1,12493,3,0,393902,-82891,613,304,82,1,1
2,12493,3,0,393902,-82891,613,304,82,1,1
1,12494,3,0,393902,-82891,643,311,81,1,1
2,12494,3,0,393902,-82891,643,311,81,1,1
1,12498,3,0,393902,-82891,772,337,82,1,1
2,12498,3,0,393902,-82891,772,337,82,1,1
1,12499,3,0,393902,-82891,801,341,82,1,1
1,12500,3,0,393902,-82891,834,346,81,1,1
2,12500,3,0,393902,-82891,834,346,81,1,1
1,12501,3,0,393902,-82891,865,350,80,1,1
1,12502,3,0,393902,-82891,895,354,81,1,1
2,12502,3,0,393902,-82891,895,354,81,1,1
1,12504,3,0,393896,-82890,956,361,81,1,1
2,12504,3,0,393896,-82890,956,361,81,1,1
1,12505,3,0,393896,-82890,987,364,81,1,1
2,12505,3,0,393896,-82890,987,364,81,1,1
1,12506,3,0,393896,-82890,1017,367,81,1,1
2,12506,3,0,393896,-82890,1017,367,81,1,1
1,12507,3,0,393896,-82890,1047,370,81,1,1
2,12507,3,0,393896,-82890,1047,370,81,1,1
1,12508,3,0,393891,-82889,1078,373,82,1,1
1,12509,3,0,393891,-82889,1108,376,82,1,1
2,12509,3,0,393891,-82889,1108,376,82,1,1
1,12511,3,0,393891,-82889,1170,381,82,1,1
1,12512,3,0,393891,-82889,1201,383,82,1,1
2,12512,3,0,393891,-82889,1201,383,82,1,1
2,12516,3,0,393891,-82889,1335,394,82,1,1
1,12530,4,0,393891,-82889,1865,415,82,1,1
1,12533,4,0,393891,-82889,1992,412,82,1,1
1,12534,4,0,393891,-82889,2036,412,82,1,1
2,12534,4,0,393891,-82889,2036,412,82,1,1
1,12535,4,0,393891,-82889,2081,411,82,1,1
1,12538,4,0,393891,-82889,2221,412,82,1,1
2,12538,4,0,393891,-82889,2221,412,82,1,1
1,12539,4,0,393891,-82889,2269,412,82,1,1
2,12539,4,0,393891,-82889,2269,412,82,1,1
1,12540,4,0,393891,-82889,2318,413,83,1,1
2,12540,4,0,393891,-82889,2318,413,83,1,1
1,12541,4,0,393891,-82889,2368,414,82,1,1
