link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,17508,3,16,0,0,0,6,82,0,0
2,17508,3,16,0,0,0,6,82,0,0
1,17509,3,16,0,0,0,15,82,0,0
2,17509,3,16,0,0,0,15,82,0,0
1,17510,3,16,0,0,2,24,81,0,0
2,17510,3,16,0,0,2,24,81,0,0
1,17511,3,16,0,0,5,32,81,1,0
2,17511,3,16,0,0,5,32,81,1,0
1,17512,3,16,0,0,9,41,81,1,0
2,17512,3,16,0,0,9,41,81,1,0
1,17514,3,16,0,0,19,58,81,1,0
2,17514,3,16,0,0,19,58,81,1,0
1,17515,3,16,0,0,25,67,81,1,0
1,17516,3,16,0,0,32,75,81,1,0
2,17516,3,16,0,0,32,75,81,1,0
1,17517,3,16,0,0,40,84,81,1,0
2,17517,3,16,0,0,40,84,81,1,0
1,17518,3,16,0,0,49,93,82,1,0
2,17518,3,16,0,0,49,93,82,1,0
1,17519,3,16,0,0,59,102,81,1,0
2,17519,3,16,0,0,59,102,81,1,0
1,17521,3,16,0,0,81,120,82,1,0
2,17521,3,16,0,0,81,120,82,1,0
1,17523,3,16,0,0,107,138,82,1,0
2,17523,3,16,0,0,107,138,82,1,0
1,17524,3,16,0,0,121,147,81,1,0
1,17525,3,16,0,0,136,156,81,1,0
2,17525,3,16,0,0,136,156,81,1,0
1,17526,3,16,0,0,152,166,81,1,0
1,17527,3,16,0,0,168,175,81,1,0
1,17529,3,16,0,0,204,193,81,1,0
2,17529,3,16,0,0,204,193,81,1,0
1,17530,3,16,0,0,223,202,81,1,0
2,17530,3,16,0,0,223,202,81,1,0
1,17531,3,16,0,0,243,211,82,1,0
2,17531,3,16,0,0,243,211,82,1,0
1,17532,3,16,0,0,264,219,82,1,0
2,17532,3,16,0,0,264,219,82,1,0
1,17533,3,16,0,0,285,228,82,1,0
1,17534,3,16,0,0,307,236,82,1,0
2,17534,3,16,0,0,307,236,82,1,0
1,17535,3,16,0,0,329,244,81,1,0
2,17535,3,16,0,0,329,244,81,1,0
1,17536,3,16,0,0,353,252,81,1,0
2,17536,3,16,0,0,353,252,81,1,0
1,17537,3,16,0,0,376,260,81,1,0
2,17537,3,16,0,0,376,260,81,1,0
1,17538,3,16,0,0,400,268,81,1,0
2,17538,3,16,0,0,400,268,81,1,0
1,17539,3,16,0,0,425,275,81,1,0
2,17539,3,16,0,0,425,275,81,1,0
1,17541,3,16,0,0,479,291,81,1,0
2,17541,3,16,0,0,479,291,81,1,0
1,17542,3,16,0,0,508,298,81,1,0
2,17542,3,16,0,0,508,298,81,1,0
1,17543,3,16,0,0,538,306,81,1,0
2,17543,3,16,0,0,538,306,81,1,0
2,17544,3,16,0,0,569,314,81,1,0
1,17545,3,16,0,0,603,322,82,1,0
2,17545,3,16,0,0,603,322,82,1,0
1,17546,3,16,0,0,638,330,81,1,0
2,17546,3,16,0,0,638,330,81,1,0
1,17548,3,16,0,0,712,344,81,1,0
2,17548,3,16,0,0,712,344,81,1,0
