link,ts[deciseconds],state,errors,lat[deg/10000],lon[deg/10000],altitude[m],velocity[m/s],battery[decivolts],pyro1,pyro2
1,28775,3,8,0,0,6,12,80,0,0
1,28776,3,8,0,0,7,20,79,0,0
2,28776,3,8,0,0,7,20,79,0,0
1,28777,3,8,0,0,10,29,79,0,0
2,28777,3,8,0,0,10,29,79,0,0
1,28778,3,8,0,0,13,38,79,0,0
2,28778,3,8,0,0,13,38,79,0,0
1,28779,3,8,0,0,18,46,79,0,0
2,28779,3,8,0,0,18,46,79,0,0
1,28780,3,8,0,0,23,54,79,0,0
1,28783,3,8,0,0,43,80,79,0,0
2,28783,3,8,0,0,43,80,79,0,0
1,28784,3,8,0,0,51,88,79,0,0
2,28784,3,8,0,0,51,88,79,0,0
1,28785,3,8,0,0,61,97,79,0,0
2,28785,3,8,0,0,61,97,79,0,0
1,28786,3,8,0,0,71,106,79,0,0
2,28786,3,8,0,0,71,106,79,0,0
1,28787,3,8,0,0,82,114,79,0,0
2,28787,3,8,0,0,82,114,79,0,0
1,28789,3,8,0,0,106,132,79,0,0
2,28789,3,8,0,0,106,132,79,0,0
1,28790,3,8,0,0,119,141,79,0,0
2,28790,3,8,0,0,119,141,79,0,0
1,28791,3,8,0,0,134,150,79,0,0
2,28791,3,8,0,0,134,150,79,0,0
1,28792,3,8,0,0,148,158,79,0,0
2,28792,3,8,0,0,148,158,79,0,0
1,28793,3,8,0,0,164,167,79,0,0
2,28793,3,8,0,0,164,167,79,0,0
1,28796,3,8,0,0,215,193,78,0,0
2,28796,3,8,0,0,215,193,78,0,0
1,28797,3,8,0,0,234,201,78,0,0
2,28797,3,8,0,0,234,201,78,0,0
1,28798,3,8,0,0,254,210,79,0,0
1,28799,3,8,0,0,274,218,78,0,0
2,28799,3,8,0,0,274,218,78,0,0
1,28800,3,8,0,0,295,226,78,0,0
2,28800,3,8,0,0,295,226,78,0,0
1,28801,3,8,0,0,316,234,78,0,0
1,28803,3,8,0,0,359,249,78,0,0
1,28804,3,8,0,0,382,256,78,0,0
2,28804,3,8,0,0,382,256,78,0,0
1,28805,3,8,0,0,405,263,79,0,0
2,28805,3,8,0,0,405,263,79,0,0
1,28806,3,8,0,0,429,270,79,0,0
2,28806,3,8,0,0,429,270,79,0,0
1,28807,3,8,0,0,453,277,78,0,0
2,28807,3,8,0,0,453,277,78,0,0
1,28808,3,8,0,0,479,284,78,0,0
1,28810,3,8,0,0,534,298,78,0,0
2,28810,3,8,0,0,534,298,78,0,0
1,28814,3,8,0,0,663,325,78,0,0
1,28818,3,8,0,0,807,346,78,0,0
2,28818,3,8,0,0,807,346,78,0,0
1,28822,4,8,0,0,955,348,78,0,0
1,28825,4,8,0,0,1062,338,78,0,0
2,28825,4,8,0,0,1062,338,78,0,0
1,28826,4,8,0,0,1095,333,78,0,0
2,28826,4,8,0,0,1095,333,78,0,0
1,28828,4,8,0,0,1158,323,77,0,0
2,28828,4,8,0,0,1158,323,77,0,0
1,28829,4,8,0,0,1190,319,77,0,0
2,28829,4,8,0,0,1190,319,77,0,0
